year,time_elapsed,failed_chunks
2009.0,1.0981876850128174,[]
2011.0,1.4690914154052734,[]
2012.0,1.766031265258789,[]
2014.0,1.2189686298370361,[]
2015.0,2.8017828464508057,[]
2016.0,4.520854473114014,[]
2017.0,6.546458005905151,[]
2018.0,4.761678218841553,[]
2009.0,0.840583086013794,[]
2011.0,1.450986623764038,[]
2012.0,1.1486620903015137,[]
2014.0,1.4824717044830322,[]
2015.0,2.243114471435547,[]
2016.0,3.6022775173187256,[]
2017.0,6.958080768585205,[]
2018.0,5.582175016403198,[]
2009.0,1.7246594429016113,[]
2011.0,1.4555833339691162,[]
2012.0,1.4452135562896729,[]
2014.0,1.478320837020874,[]
2015.0,3.289837121963501,[]
2016.0,3.627749443054199,[]
2017.0,6.053927421569824,[]
2018.0,5.117704153060913,[]
2009.0,1.1091275215148926,[]
2011.0,1.2144949436187744,[]
2012.0,1.1447992324829102,[]
2014.0,1.4480271339416504,[]
2015.0,3.6123552322387695,[]
2016.0,3.912414789199829,[]
2017.0,6.375138521194458,[]
2018.0,4.832055568695068,[]
2009.0,1.991706132888794,[]
2011.0,1.1019747257232666,[]
2012.0,0.9438886642456055,[]
2014.0,1.3459153175354004,[]
2015.0,6.0601646900177,[]
2016.0,4.832598924636841,[]
2017.0,6.0291595458984375,[]
2018.0,5.185008764266968,[]
2009.0,0.7466897964477539,[]
2011.0,1.0100665092468262,[]
2012.0,0.7649893760681152,[]
2014.0,1.0033795833587646,[]
2015.0,2.5265679359436035,[]
2016.0,4.238248109817505,[]
2017.0,6.312872648239136,[]
2018.0,5.181180000305176,[]
