TeamID	num_editors	num_edits	num_edits_per_editor	num_sections	deadline_exponent	inequality_effort	num_advisors	num_instructors	num_primary_PIs	num_secondary_PIs	num_student_leaders	num_student_members	num_unspecified	num_students_tot	num_supervisors_tot	num_total_registered	prop_students_editing	collab_strength_in	collab_strength_in_norm	collab_strength_out	collab_strength_out_norm	collab_singleton	collab_strength_tot	collab_strength_tot_norm	collab_degree_in	collab_degree_in_norm	collab_degree_out	collab_degree_out_norm	collab_degree_tot	collab_degree_tot_norm	collab_eigen_centrality	collab_between_centrality	collab_between_centrality_norm	collab_clustering	collab_clustering_norm	collab_clustering_weighted	collab_clustering_weighted_norm	collab_coreness	collab_coreness_norm	collab_authority	collab_authority_norm	collab_burt	collab_burt_norm	collaboration.score	overlap.score.10	overlap.score.20	overlap.score.5	communities_bipartite	gini_sections	ineq_entropy_sections	ineq_part_ratio_sections	gini_editors	dol_generalist	dol_correlation_activities	num_biobricks	prop_team_participated_before	num_team_participated_before	prop_team_participated_previous_year	num_team_participated_previous_year	nb_participations	past_medal_best_all_years	past_medal_year_before	past_nb_awards_best_all_years	past_nb_awards_year_before	past_performance_best_all_years	past_performance_year_before	has_gold_year_before	Region	Country	Track	Division	Team	Year	medal	medal_numeric	finalist	nb.awards	nb.awards.signif	winner	performance
44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	United States	Medical	Collegiate	Rice	2007	gold	3	NA	NA	NA	NA	3
45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	3	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	Usa	Medical	Collegiate	Princeton	2007	gold	3	NA	NA	NA	NA	3
46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	2	-Inf	NA	-Inf	NA	-Inf	NA	NA	Europe	Uk	Foundational Research	Collegiate	Cambridge	2007	gold	3	NA	NA	NA	NA	3
47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	North America	Usa	Foundational Research	Collegiate	CSHL	2007	bronze	1	NA	NA	NA	NA	1
48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	North America	Us	Environment	Collegiate	Southern_Utah	2007	gold	3	NA	NA	NA	NA	3
49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	North America	Usa	Energy	Collegiate	Berkeley_LBL	2007	bronze	1	NA	NA	NA	NA	1
50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	Asia	Australia	Medical	Collegiate	Melbourne	2007	gold	3	NA	NA	NA	NA	3
51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	Asia	Japan	Foundational Research	Collegiate	Tokyo_Tech	2007	gold	3	NA	NA	NA	NA	3
52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	North America	Canada	Environment	Collegiate	Lethbridge	2007	gold	3	NA	NA	NA	NA	3
53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	North America	United States	Energy	Collegiate	Boston_University	2007	bronze	1	NA	NA	NA	NA	1
54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	Europe	Turkey	Environment	Collegiate	Turkey	2007	bronze	1	NA	NA	NA	NA	1
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	North America	Usa	Medical	Collegiate	Bay_Area_RSI	2007	silver	2	NA	NA	NA	NA	2
57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	Europe	Germany	Foundational Research	Collegiate	Freiburg	2007	gold	3	NA	NA	NA	NA	3
58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	Usa	Foundational Research	Collegiate	Duke	2007	bronze	1	NA	NA	NA	NA	1
59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	3	-Inf	NA	-Inf	NA	-Inf	NA	NA	North America	United States	Foundational Research	Collegiate	Caltech	2007	gold	3	NA	NA	NA	NA	3
60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	Asia	Russian Federation	Environment	Collegiate	Saint_Petersburg	2007	gold	3	NA	NA	NA	NA	3
61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	Asia	Taiwan	Medical	Collegiate	Taipei	2007	gold	3	NA	NA	NA	NA	3
62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	1	0	NA	0	NA	0	NA	0	NA	1	0	0	NA	NA	NA	NA	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	Latin America	Mexico	Information Processing	Collegiate	Mexico	2007	bronze	1	NA	NA	NA	NA	1
